Source,Target,Weight
Sampdoria,Leicester City,19500000
Chelsea,Arsenal,8800000
Girona,Manchester City,12000000
Arsenal,Everton,30800000
Celta Vigo,Osasuna,250000
Caen,Angers,3500000
Borussia Dortmund,Dynamo Moscow,20000000
Borussia Dortmund,Real Zaragoza,2000000
Ajax,Genoa,1500000
Rayo Vallecano,Amiens,3000000
Boca Juniors,Cagliari,18000000
Bologna,Fiorentina,10000000
Monaco,Manchester United,5000000
Dijon,Al-Ettifaq,4850000
Hannover,Udinese,6000000
Monaco,Brest,1000000
Everton,Monaco,13500000
Chievo,Sampdoria,2500000
Sevilla,Red Bull Salzburg,12000000
Getafe,Osasuna,2000000
Chelsea,Legané,5000000
Motherwell,Norwich City,265000
Rennes,Borussia Mönchengladbac,10000000
Sevilla,Monaco,40000000
Monaco,Sevilla,20000000
Espanyol,Real Betis,20000000
Legané,Girona,500000
Angers,Lyon,25000000
RB Salzburg,Hoffenheim,14000000
Genclerbirligi,Roma,3000000
Barcelona,Bayern Munich,8500000
Borussia Mönchengladbac,Bayern Munich,12000000
Udinese,Perugia,1000000
SPAL,Dijon,1500000
Auxerre,Nimes,4000000
Rapid Vienna,Sassuolo,5000000
Málag,Villarreal,7500000
Rayo Vallecano,Real Betis,7500000
Angers,Hatta,1500000
Guingamp,Nimes,1000000
HJK Helsinki,Bologna,1000000
Virtus Entella,Brescia,900000
Tottenham Hotspur,Besiktas,5000000
Cagliari,Salernitana,500000
Guingamp,Real Mallorca,2000000
Virtus Entella,Fiorentina,600000
Piast Gliwice,Lazio,2000000
PSV,Napoli,38000000
Bayern Munich,Lille,25000000
Bordeaux,Almerí,750000
Alavé,Monaco,15000000
Sporting,Eintracht Frankfurt,7000000
Bordeaux,Aris Saloniki,500000
Sturm Graz,Reims,3000000
St Gallen,Reims,1770000
Atlético Huil,Fiorentina,2500000
Nantes,Al-Ahli,6000000
Milan,Hajduk Split,500000
Parma,Pescara,500000
Pescara,Parma,2000000
Club Brugge,Bordeaux,200000
Besiktas,Bologna,2000000
Nimes,Angers,1500000
Ajax,Nice,20000000
Lorient,Nice,14000000
Roma,Spartak Moscow,2000000
Spezia,Sampdoria,900000
Roma,Cittadella,500000
Paris Saint-Germain,Monaco,10000000
Sampdoria,Ternana,190000
Vélez Sarsfiel,Bologna,7500000
Francavilla,Napoli,1000000
Arsenal,Real Sociedad,500000
Villarreal,Shabab,6000000
Paris Saint-Germain,Nice,12000000
Genoa,Dinamo Moscow,500000
Barcelona,Real Betis,6000000
Zaragoza,Real Madrid,2500000
Manchester United,Parma,1500000
West Ham United,Sevilla,8000000
Dijon,Caen,2000000
Fluminense,Fiorentina,14000000
Hoffenheim,Freiburg,8000000
Real Madrid,Paris Saint-Germain,15000000
Parma,Cremonese,1100000
Marseille,Fenerbahce,6000000
Paradou AC,Nice,4000000
Schalke 04,Shakhtar Donetsk,6000000
Sporting,Valencia,15000000
Guingamp,Nantes,6500000
Liverpool,Fiorentina,2000000
FC Copenhagen,Genoa,2000000
Sporting,Rennes,18000000
Legané,Strasbourg,900000
Chievo,Verona,5000000
Toulouse,Caen,500000
Lens,Brest,2000000
Strasbourg,Rennes,4000000
Liverpool,Rangers,7250000
Deportivo,Levante,2500000
Sassuolo,Lecce,3000000
Nantes,Marseille,13000000
Lens,Dijon,3500000
